"Symbol","Ensembl","EntrezGeneID","Uniprot","Name","Protein_Coverage","Number_of_Unique_Peptides","Number_of_Peptides","M197vsM398","M197vsM180","M197vsM194","M202vsM194","M418vsM194","M202vsM180","M202vsM398","M418vsM180","M418vsM398","Number_of_ratios","Ratio_mean","Ratio_SEM","pvalue","FDR"
"15453","CRTAP","ENSG00000170275",10491,"O75718","cartilage associated protein",18.95,9,9,1.625,1.642,1.198,0.925,1.042,1.318,1.15,1.445,1.088,9,1.27,0.09,0.02,0.089
"15454","SLC25A12","ENSG00000115840",8604,"O75746","solute carrier family 25 member 12",24.34,12,15,0.824,1.056,0.802,0.93,0.815,1.072,0.924,0.948,0.742,9,0.9,0.04,0.005,0.038
"15458","TRPA1","ENSG00000104321",8989,"O75762","transient receptor potential cation channel subfamily A member 1",0.63,1,1,1.195,1.106,1.05,1.077,1.138,1.121,1.211,1.178,1.278,9,1.15,0.02,0,0.005
"15459","TCEA3","ENSG00000282941",6920,"O75764","transcription elongation factor A3",6.03,2,2,0.909,1.317,1.991,2.071,2.05,1.355,0.934,1.333,0.923,9,1.43,0.16,0.058,0.175
"15460","TCEA3","ENSG00000204219",6920,"O75764","transcription elongation factor A3",6.03,2,2,0.909,1.317,1.991,2.071,2.05,1.355,0.934,1.333,0.923,9,1.43,0.16,0.058,0.175
"15462","PALM","ENSG00000099864",5064,"O75781","paralemmin",18.09,5,6,0.878,0.567,1.262,1.26,2.218,0.506,0.781,1.205,1.778,9,1.16,0.19,0.249,0.425
"15464","ATP6AP2","ENSG00000182220",10159,"O75787","ATPase H+ transporting accessory protein 2",7.71,3,3,1.115,1.292,0.939,0.745,1.316,1.014,0.873,1.78,1.541,9,1.18,0.11,0.11,0.256
"15466","RNASEH2A","ENSG00000104889",10535,"O75792","ribonuclease H2 subunit A",10.7,3,3,1.317,0.887,0.612,0.611,0.731,0.874,1.297,1.041,1.551,9,0.99,0.11,0.99,0.994
"15475","RPP40","ENSG00000124787",10799,"O75818","ribonuclease P/MRP subunit p40",1.93,1,1,0.875,0.909,0.694,0.839,0.886,1.087,1.045,1.141,1.102,9,0.95,0.05,0.299,0.479
"15477","EIF3G","ENSG00000130811",8666,"O75821","eukaryotic translation initiation factor 3 subunit G",21.25,8,8,1.277,1.173,0.934,0.746,0.857,1.168,1.169,1.068,1.105,9,1.06,0.06,0.585,0.742
"15478","EIF3J","ENSG00000104131",8669,"O75822","eukaryotic translation initiation factor 3 subunit J",27.91,9,9,0.99,0.953,1.042,0.956,1.078,0.895,1.069,0.964,1.135,9,1.01,0.03,0.19,0.36
"15479","CBR3","ENSG00000159231",874,"O75828","carbonyl reductase 3",20.58,3,5,1.797,1.626,1.259,1.185,0.344,1.511,1.669,0.437,0.485,9,1.15,0.19,0.545,0.711
"15482","PSMD10","ENSG00000101843",5716,"O75832","proteasome 26S subunit, non-ATPase 10",15.49,3,3,0.888,0.424,0.87,1.016,1.193,0.489,1.023,0.571,1.201,9,0.85,0.1,0.325,0.506
"15487","ZMPSTE24","ENSG00000084073",10269,"O75844","zinc metallopeptidase STE24",7.58,3,3,0.72,0.721,0.769,0.966,0.907,0.895,0.893,0.836,0.839,9,0.84,0.03,0.001,0.013
"15488","SC5D","ENSG00000109929",6309,"O75845","sterol-C5-desaturase",2.34,1,1,0.965,0.92,1.038,1.198,1.11,1.05,1.099,0.968,1.018,9,1.04,0.03,0.261,0.438
"15493","IDH1","ENSG00000138413",3417,"O75874","isocitrate dehydrogenase (NADP(+)) 1",43,18,19,1.014,0.758,0.792,0.962,0.982,0.878,1.168,0.909,1.21,9,0.96,0.05,0.771,0.867
"15494","GATB","ENSG00000059691",5188,"O75879","glutamyl-tRNA amidotransferase subunit B",11.13,6,6,0.923,1.117,0.803,0.742,0.796,1.053,0.909,1.133,0.837,9,0.92,0.05,0.052,0.164
"15495","SCO1","ENSG00000133028",6341,"O75880","SCO cytochrome c oxidase assembly protein 1",7.97,3,3,0.798,1.004,1.018,1.131,1.058,0.953,0.785,0.925,0.713,9,0.93,0.05,0.095,0.235
"15498","RBBP9","ENSG00000089050",10741,"O75884","RB binding protein 9, serine hydrolase",6.45,1,1,0.989,1.117,0.535,0.629,0.631,1.298,1.148,1.295,1.151,9,0.98,0.1,0.445,0.627
"15499","STAM2","ENSG00000115145",10254,"O75886","signal transducing adaptor molecule 2",10.67,5,5,1.334,1.332,1.335,2.045,1.512,1.448,1.371,1.065,1.013,9,1.38,0.1,0.007,0.046
"15501","ALDH1L1","ENSG00000144908",10840,"O75891","aldehyde dehydrogenase 1 family member L1",2.99,1,2,0.694,1.262,1.481,1.352,1.293,1.139,0.626,1.084,0.598,9,1.06,0.11,0.662,0.798
"15514","ARL6IP5","ENSG00000144746",10550,"O75915","ADP ribosylation factor like GTPase 6 interacting protein 5",23.94,5,5,0.889,1.292,1.066,0.996,1.011,1.16,0.86,1.215,0.775,9,1.03,0.06,0.711,0.83
"15524","DYSF","ENSG00000135636",8291,"O75923","dysferlin",13.61,22,23,0.633,0.695,1.403,1.654,2.027,0.653,0.744,0.848,0.837,9,1.05,0.17,0.974,0.987
"15527","BCAS2","ENSG00000116752",10286,"O75934","BCAS2 pre-mRNA processing factor",25.78,6,6,1.355,1.73,1.61,1.164,1.18,1.203,0.916,1.131,0.883,9,1.24,0.09,0.078,0.21
"15528","DCTN3","ENSG00000137100",11258,"O75935","dynactin subunit 3",22.04,4,5,1.354,1.37,1.186,1.181,1.201,1.139,1.199,1.342,1.388,9,1.26,0.03,0,0.001
"15530","DNAJC8","ENSG00000126698",22826,"O75937","DnaJ heat shock protein family (Hsp40) member C8",30.83,8,8,1.25,1.214,1.147,1.117,1.028,0.988,1.092,1.021,1.089,9,1.11,0.03,0.002,0.02
"15531","DNAJC8","ENSG00000285317",22826,"O75937","DnaJ heat shock protein family (Hsp40) member C8",30.83,8,8,1.25,1.214,1.147,1.117,1.028,0.988,1.092,1.021,1.089,9,1.11,0.03,0.002,0.02
"15532","SMNDC1","ENSG00000119953",10285,"O75940","survival motor neuron domain containing 1",24.79,4,4,1.096,1.313,1.205,1.094,1.025,1.179,0.982,1.099,0.92,9,1.1,0.04,0.117,0.266
"15535","ATP5PD","ENSG00000167863",10476,"O75947","ATP synthase peripheral stalk subunit d",59.01,8,8,1.108,1.279,1.401,1.118,0.994,0.991,0.746,0.974,0.682,9,1.03,0.08,0.787,0.877
"15542","FLOT1","ENSG00000206480",10211,"O75955","flotillin 1",22.48,8,8,0.983,1.158,1.081,1.085,1.097,1.215,0.905,1.124,0.922,9,1.06,0.04,0.353,0.535
"15543","FLOT1","ENSG00000206379",10211,"O75955","flotillin 1",22.48,8,8,0.983,1.158,1.081,1.085,1.097,1.215,0.905,1.124,0.922,9,1.06,0.04,0.353,0.535
"15544","FLOT1","ENSG00000230143",10211,"O75955","flotillin 1",22.48,8,8,0.983,1.158,1.081,1.085,1.097,1.215,0.905,1.124,0.922,9,1.06,0.04,0.353,0.535
"15545","FLOT1","ENSG00000224740",10211,"O75955","flotillin 1",22.48,8,8,0.983,1.158,1.081,1.085,1.097,1.215,0.905,1.124,0.922,9,1.06,0.04,0.353,0.535
"15546","FLOT1","ENSG00000223654",10211,"O75955","flotillin 1",22.48,8,8,0.983,1.158,1.081,1.085,1.097,1.215,0.905,1.124,0.922,9,1.06,0.04,0.353,0.535
"15547","FLOT1","ENSG00000137312",10211,"O75955","flotillin 1",22.48,8,8,0.983,1.158,1.081,1.085,1.097,1.215,0.905,1.124,0.922,9,1.06,0.04,0.353,0.535
"15548","FLOT1","ENSG00000232280",10211,"O75955","flotillin 1",22.48,8,8,0.983,1.158,1.081,1.085,1.097,1.215,0.905,1.124,0.922,9,1.06,0.04,0.353,0.535
"15549","FLOT1","ENSG00000236271",10211,"O75955","flotillin 1",22.48,8,8,0.983,1.158,1.081,1.085,1.097,1.215,0.905,1.124,0.922,9,1.06,0.04,0.353,0.535
"15551","TRIO","ENSG00000038382",7204,"O75962","trio Rho guanine nucleotide exchange factor",1,2,3,0,0.841,1.141,1.181,1.693,0.562,0,0.802,0,6,1.04,0.16,0.559,0.722
"15552","ATP5MG","ENSG00000167283",10632,"O75964","ATP synthase membrane subunit g",38.83,4,4,1.009,1.178,1.131,1.066,0.991,1.039,0.865,0.951,0.801,9,1,0.04,0.583,0.74
"15554","MPDZ","ENSG00000107186",8777,"O75970","multiple PDZ domain crumbs cell polarity complex component",4.64,7,7,1.197,1.084,0.835,1.051,1.257,1.088,1.201,1.297,1.438,9,1.16,0.06,0.017,0.082
"15557","CPD","ENSG00000108582",1362,"O75976","carboxypeptidase D",11.01,13,13,1.372,1.284,0.793,0.701,0.669,0.963,0.996,0.951,0.924,9,0.96,0.08,0.438,0.62
"15583","GLRX3","ENSG00000108010",10539,"O76003","glutaredoxin 3",25.37,8,8,1.118,0.895,0.924,0.994,1.356,0.973,1.189,1.21,1.568,9,1.14,0.07,0.044,0.149
"15594","RSL1D1","ENSG00000171490",26156,"O76021","ribosomal L1 domain containing 1",28.57,19,19,0.736,0.841,0.899,0.956,0.975,0.798,0.738,0.773,0.716,9,0.83,0.03,0.001,0.014
"15595","WFS1","ENSG00000109501",7466,"O76024","wolframin ER transmembrane glycoprotein",2.92,2,2,1.677,1.68,1.345,0,0.691,0,0,0.848,0.849,6,1.18,0.18,0.609,0.759
"15597","CLPX","ENSG00000166855",10845,"O76031","caseinolytic mitochondrial matrix peptidase chaperone subunit",19.59,11,11,1.376,1.109,1.088,0.825,0.91,0.913,0.966,0.854,0.964,9,1,0.06,0.931,0.964
"15620","STC2","ENSG00000113739",8614,"O76061","stanniocalcin 2",2.65,1,1,0.587,1.129,1.546,1.848,1.556,1.334,0.692,1.118,0.583,9,1.15,0.15,0.9,0.945
"15624","SNCG","ENSG00000173267",6623,"O76070","synuclein gamma",76.38,9,9,1.73,0.92,1.176,1.325,1.245,1.138,1.743,1.108,1.626,9,1.33,0.1,0.003,0.031
"15625","CIAO1","ENSG00000144021",9391,"O76071","cytosolic iron-sulfur assembly component 1",2.36,1,1,0,0,0,0,0,0.587,1.082,0.617,1.144,4,0.86,0.15,0.797,0.884
"15642","SRP72","ENSG00000174780",6731,"O76094","signal recognition particle 72",20.27,13,13,0.854,0.683,0.938,1.384,1.352,0.89,1.03,0.882,1.052,9,1.01,0.08,0.976,0.988
"15654","DDAH1","ENSG00000153904",23576,"O94760","dimethylarginine dimethylaminohydrolase 1",20,4,5,1.382,1.036,1.226,1.239,1.143,1.036,1.379,0.95,1.272,9,1.18,0.05,0.002,0.023
"15656","RECQL5","ENSG00000108469",9400,"O94762","RecQ like helicase 5",3.43,3,3,0,1.273,1.335,0.686,0,0.647,0,0,0,4,0.99,0.18,0.827,0.904
"15657","URI1","ENSG00000105176",8725,"O94763","URI1 prefoldin like chaperone",12.52,4,6,1.363,0.702,0.783,0,0.712,0,0,0.628,1.223,6,0.9,0.13,0.435,0.619
"15663","MTA2","ENSG00000149480",9219,"O94776","metastasis associated 1 family member 2",20.36,10,11,1.004,1.014,1.002,1.129,1.052,1.088,1.214,1.036,1.017,9,1.06,0.02,0.053,0.166
"15669","STK10","ENSG00000072786",6793,"O94804","serine/threonine kinase 10",10.43,8,8,1.082,0.79,0.728,0.815,0.758,0.78,1.007,0.777,1.126,9,0.87,0.05,0.104,0.247
"15675","BAIAP3","ENSG00000007516",8938,"O94812","BAI1 associated protein 3",0.67,1,1,1.037,1.459,1.362,1.362,1.336,1.442,1.024,1.407,1.004,9,1.27,0.06,0.009,0.054
"15677","ATG12","ENSG00000145782",9140,"O94817","autophagy related 12",6.43,1,1,1.424,1.131,0.816,0.687,0.506,0.941,1.183,0.689,0.871,9,0.92,0.1,0.238,0.413
"15683","TOMM70","ENSG00000154174",9868,"O94826","translocase of outer mitochondrial membrane 70",23.36,15,15,0.928,1.061,0.96,0.803,0.824,0.923,0.877,0.889,0.788,9,0.89,0.03,0.004,0.035
"15686","DDHD2","ENSG00000085788",23259,"O94830","DDHD domain containing 2",1.97,1,1,0,0,0,0,0.695,0,0,0,0,1,0,0,0,0
"15688","TOX4","ENSG00000092203",9878,"O94842","TOX high mobility group box family member 4",8.7,5,5,1.149,1.289,1.296,1.225,0.995,1.258,1.003,1.077,0.89,9,1.13,0.05,0.128,0.28
"15692","KIAA0754","ENSG00000127603",643314,"O94854","KIAA0754",0.93,1,1,0.706,1.066,0.893,1.014,0.945,1.197,0.792,1.11,0.738,9,0.94,0.06,0.055,0.171
"15693","SEC24D","ENSG00000150961",9871,"O94855","SEC24 homolog D, COPII coat complex component",2.62,3,3,0,0.759,1.259,1.679,1.558,1,0,0.923,0,6,1.2,0.15,0.336,0.519
"15695","SUPT7L","ENSG00000119760",9913,"O94864","SPT7 like, STAGA complex gamma subunit",2.17,1,1,1.277,1.214,2.157,2.132,1.271,1.186,1.247,0.703,0.743,9,1.33,0.17,0.248,0.424
"15698","UFL1","ENSG00000014123",23376,"O94874","UFM1 specific ligase 1",17.51,12,12,0.931,0.851,0.902,1.022,0.977,0.953,1.046,0.922,1.013,9,0.96,0.02,0.142,0.299
"15699","SORBS2","ENSG00000154556",8470,"O94875","sorbin and SH3 domain containing 2",9.64,7,7,0.362,0.657,1.542,1.392,1.852,0.82,0.514,1.035,0.611,9,0.98,0.17,0.36,0.543
"15700","TMCC1","ENSG00000172765",23023,"O94876","transmembrane and coiled-coil domain family 1",2.3,1,2,0,0,0,0,0,0,0.916,0,0,1,0,0,0,0
"15701","PHF14","ENSG00000106443",9678,"O94880","PHD finger protein 14",3.72,3,3,1.481,0.885,0.978,0.628,0.696,0.562,0.939,0.619,1.039,9,0.87,0.1,0.253,0.429
"15702","SASH1","ENSG00000111961",23328,"O94885","SAM and SH3 domain containing 1",11.31,9,9,1.192,0.927,2.017,1.84,2.268,0.793,1.074,0.973,1.323,9,1.38,0.18,0.021,0.093
"15705","UBXN7","ENSG00000163960",26043,"O94888","UBX domain protein 7",16.97,8,8,1.052,1.082,1.012,0.85,0.739,0.868,0.873,0.942,1.066,9,0.94,0.04,0.325,0.506
"15708","LRIG2","ENSG00000198799",9860,"O94898","leucine rich repeats and immunoglobulin like domains 2",2.44,2,2,0.759,0,1.597,1.609,0,0,0.755,0,0,4,1.18,0.24,0.687,0.814
"15710","SUN1","ENSG00000164828",23353,"O94901","Sad1 and UNC84 domain containing 1",10.59,7,7,1.065,0.941,1.099,0.798,0.897,0.779,0.815,0.971,0.85,9,0.91,0.04,0.056,0.173
"15711","PLPBP","ENSG00000147471",11212,"O94903","pyridoxal phosphate binding protein",14.18,4,4,1.195,1.144,1.07,1.406,0.942,1.296,1.193,0.99,1.083,9,1.15,0.05,0.025,0.104
"15712","ERLIN2","ENSG00000147475",11160,"O94905","ER lipid raft associated 2",39.53,8,11,0.961,1.42,1.113,1.291,0.956,1.506,1.042,1.14,0.791,9,1.14,0.08,0.518,0.689
"15713","PRPF6","ENSG00000101161",24148,"O94906","pre-mRNA processing factor 6",21.25,20,20,1.051,1.087,0.684,0.687,0.619,1.08,1.098,0.923,0.912,9,0.9,0.06,0.092,0.23
"15718","PCF11","ENSG00000165494",51585,"O94913","PCF11 cleavage and polyadenylation factor subunit",5.79,9,9,0.965,0.899,1.049,1.348,1.085,1.094,1.14,0.994,0.998,9,1.06,0.04,0.268,0.445
"15720","NFAT5","ENSG00000102908",10725,"O94916","nuclear factor of activated T cells 5",0.65,1,1,0,1.753,1.123,0.685,0,1.056,0,0,0,4,1.15,0.22,0.75,0.853
"15721","ENDOD1","ENSG00000149218",23052,"O94919","endonuclease domain containing 1",9.6,4,4,0.909,1.293,1.363,1.551,1.335,1.507,1.068,1.3,0.866,9,1.24,0.08,0.084,0.218
"15724","GLS","ENSG00000115419",2744,"O94925","glutaminase",10.46,6,6,1.052,1.113,1.163,0.735,0.725,0.71,0.759,0.677,0.761,9,0.86,0.06,0.045,0.15
"15726","ABLIM3","ENSG00000173210",22885,"O94929","actin binding LIM protein family member 3",10.25,6,7,0.476,0.751,2.354,3.733,3.335,1.078,0.484,1.312,0.583,9,1.57,0.42,0.73,0.84
"15731","RHOBTB3","ENSG00000164292",22836,"O94955","Rho related BTB domain containing 3",1.8,1,1,1.182,1.046,0.978,0.715,0,0.755,0.852,0,0,6,0.92,0.07,0.517,0.687
"15733","SOGA1","ENSG00000149639",140710,"O94964","suppressor of glucose, autophagy associated 1",4.5,5,5,0,0,0,0,1.746,0,0,0,0,1,0,0,0,0
"15734","USP19","ENSG00000172046",10869,"O94966","ubiquitin specific peptidase 19",7.36,5,5,0.617,0.647,0.879,1.377,1.01,1.065,0.791,0.732,0.7,9,0.87,0.08,0.034,0.125
"15737","AP2A2","ENSG00000280759",161,"O94973","adaptor related protein complex 2 subunit alpha 2",15.87,8,14,1.017,1.123,0.72,0.717,0.76,1.04,1.139,0.956,1.069,9,0.95,0.06,0.337,0.519
"15738","AP2A2","ENSG00000183020",161,"O94973","adaptor related protein complex 2 subunit alpha 2",15.87,8,14,1.017,1.123,0.72,0.717,0.76,1.04,1.139,0.956,1.069,9,0.95,0.06,0.337,0.519
"15739","AP2A2","ENSG00000281385",161,"O94973","adaptor related protein complex 2 subunit alpha 2",15.87,8,14,1.017,1.123,0.72,0.717,0.76,1.04,1.139,0.956,1.069,9,0.95,0.06,0.337,0.519
"15740","SEC31A","ENSG00000138674",22872,"O94979","SEC31 homolog A, COPII coat complex component",20.57,23,23,1.077,0.852,0.862,1.012,1.081,0.86,1.095,1.015,1.284,9,1.02,0.05,0.329,0.511
"15743","CEP152","ENSG00000103995",22995,"O94986","centrosomal protein 152",0.41,1,1,0,0,0,0,0,0,0,0.937,0,1,0,0,0,0
"15747","HEXIM1","ENSG00000186834",10614,"O94992","HEXIM P-TEFb complex subunit 1",17.27,5,5,0.817,1.407,1.308,1.319,1.415,1.236,0.739,1.249,0.817,9,1.15,0.09,0.486,0.662
"15764","YIF1A","ENSG00000174851",10897,"O95070","Yip1 interacting factor homolog A, membrane trafficking protein",5.12,1,1,0,0,0,0.6,0.842,0,0.497,0,0.697,4,0.66,0.07,0.012,0.065
"15765","UBR5","ENSG00000104517",51366,"O95071","ubiquitin protein ligase E3 component n-recognin 5",1.54,4,4,0.973,0.794,0.621,0.765,0.724,0.967,1.183,0.911,1.119,9,0.9,0.06,0.153,0.313
"15775","SCAF4","ENSG00000156304",57466,"O95104","SR-related CTD associated factor 4",9.24,5,6,0.698,0.795,0.832,1.018,0.708,0.961,0.844,0.665,0.587,9,0.79,0.05,0.001,0.014
"15779","NDUFB6","ENSG00000165264",4712,"O95139","NADH:ubiquinone oxidoreductase subunit B6",14.06,1,1,0,0,0,0,0.797,0,0,0,0,1,0,0,0,0
"15780","MFN2","ENSG00000116688",9927,"O95140","mitofusin 2",13.87,7,7,0.684,0.867,0.902,0.804,0.757,1.251,0.986,0.843,0.667,9,0.86,0.06,0.001,0.014
"15783","SNUPN","ENSG00000169371",10073,"O95149","snurportin 1",6.67,2,3,1.218,0.612,0.787,0.879,1.052,0.676,1.343,0.804,1.606,9,1,0.11,0.715,0.832
"15785","TSPOAP1","ENSG00000005379",9256,"O95153","TSPO associated protein 1",0.43,1,1,0.551,0.762,1.845,2.469,2.772,1.008,0.728,1.125,0.817,9,1.34,0.27,0.542,0.708
"15787","UBE4B","ENSG00000130939",10277,"O95155","ubiquitination factor E4B",4.99,5,6,1.306,0.885,0.836,1.137,1.075,1.13,1.057,0.924,0.926,9,1.03,0.05,0.962,0.98
"15792","ELP1","ENSG00000070061",8518,"O95163","elongator complex protein 1",8.63,7,7,1.274,1.169,0.807,0.765,0.992,1.004,1.443,1.414,1.459,9,1.15,0.09,0.116,0.265
"15794","GABARAP","ENSG00000170296",11337,"O95166","GABA type A receptor-associated protein",11.11,1,2,1.497,1.194,0.943,0.909,0.86,1.137,1.423,1.07,1.346,9,1.15,0.08,0.075,0.205
"15795","NDUFA3","ENSG00000275605",4696,"O95167","NADH:ubiquinone oxidoreductase subunit A3",13.1,1,1,1.271,1.336,1.081,0.809,0.822,0.988,0.938,0.999,0.953,9,1.02,0.06,0.918,0.956
"15796","NDUFA3","ENSG00000277722",4696,"O95167","NADH:ubiquinone oxidoreductase subunit A3",13.1,1,1,1.271,1.336,1.081,0.809,0.822,0.988,0.938,0.999,0.953,9,1.02,0.06,0.918,0.956
"15797","NDUFA3","ENSG00000276061",4696,"O95167","NADH:ubiquinone oxidoreductase subunit A3",13.1,1,1,1.271,1.336,1.081,0.809,0.822,0.988,0.938,0.999,0.953,9,1.02,0.06,0.918,0.956
"15798","NDUFA3","ENSG00000276220",4696,"O95167","NADH:ubiquinone oxidoreductase subunit A3",13.1,1,1,1.271,1.336,1.081,0.809,0.822,0.988,0.938,0.999,0.953,9,1.02,0.06,0.918,0.956
"15799","NDUFA3","ENSG00000278365",4696,"O95167","NADH:ubiquinone oxidoreductase subunit A3",13.1,1,1,1.271,1.336,1.081,0.809,0.822,0.988,0.938,0.999,0.953,9,1.02,0.06,0.918,0.956
"15800","NDUFA3","ENSG00000275724",4696,"O95167","NADH:ubiquinone oxidoreductase subunit A3",13.1,1,1,1.271,1.336,1.081,0.809,0.822,0.988,0.938,0.999,0.953,9,1.02,0.06,0.918,0.956
"15801","NDUFA3","ENSG00000273642",4696,"O95167","NADH:ubiquinone oxidoreductase subunit A3",13.1,1,1,1.271,1.336,1.081,0.809,0.822,0.988,0.938,0.999,0.953,9,1.02,0.06,0.918,0.956
"15802","NDUFA3","ENSG00000274359",4696,"O95167","NADH:ubiquinone oxidoreductase subunit A3",13.1,1,1,1.271,1.336,1.081,0.809,0.822,0.988,0.938,0.999,0.953,9,1.02,0.06,0.918,0.956
"15803","NDUFA3","ENSG00000276766",4696,"O95167","NADH:ubiquinone oxidoreductase subunit A3",13.1,1,1,1.271,1.336,1.081,0.809,0.822,0.988,0.938,0.999,0.953,9,1.02,0.06,0.918,0.956
"15804","NDUFA3","ENSG00000170906",4696,"O95167","NADH:ubiquinone oxidoreductase subunit A3",13.1,1,1,1.271,1.336,1.081,0.809,0.822,0.988,0.938,0.999,0.953,9,1.02,0.06,0.918,0.956
"15805","NDUFB4","ENSG00000065518",4710,"O95168","NADH:ubiquinone oxidoreductase subunit B4",31.01,3,3,1.03,1.074,0.962,1.035,0.889,1.141,1.094,0.975,0.939,9,1.02,0.03,0.741,0.847
"15806","NDUFB8","ENSG00000166136",4714,"O95169","NADH:ubiquinone oxidoreductase subunit B8",27.42,4,4,1.1,1.299,1.181,1.058,0.942,1.211,0.955,0.927,0.799,9,1.05,0.05,0.989,0.993
"15811","NDUFA7","ENSG00000267855",4701,"O95182","NADH:ubiquinone oxidoreductase subunit A7",53.1,5,5,1.075,1.443,1.214,0.991,1.033,1.309,0.835,1.322,0.818,9,1.12,0.07,0.522,0.691
"15812","VAMP5","ENSG00000168899",10791,"O95183","vesicle associated membrane protein 5",18.1,2,2,0.9,0.688,1.578,1.547,1.412,0.709,0.822,0.565,0.66,9,0.99,0.14,0.543,0.709
"15817","RTN3","ENSG00000133318",10313,"O95197","reticulon 3",6.98,5,5,1.248,1.629,1.005,0.745,1.035,1.195,0.914,1.65,1.268,9,1.19,0.1,0.129,0.281
"15821","LETM1","ENSG00000168924",3954,"O95202","leucine zipper and EF-hand containing transmembrane protein 1",25.17,16,16,1.136,1.241,0.969,0.705,0.662,0.885,0.814,0.851,0.729,9,0.89,0.07,0.064,0.185
"15823","EPN2","ENSG00000072134",22905,"O95208","epsin 2",23.4,8,8,2.035,2.441,1.148,0.855,1.053,2.099,1.431,2.43,1.843,9,1.7,0.2,0.007,0.046
"15824","STBD1","ENSG00000118804",8987,"O95210","starch binding domain 1",17.6,3,4,0.596,1.116,0.684,0.935,0.964,1.435,0.777,1.546,0.829,9,0.99,0.11,0.252,0.429
"15826","ZRANB2","ENSG00000132485",9406,"O95218","zinc finger RANBP2-type containing 2",19.09,6,6,1.018,1.221,1.248,1.206,1.304,1.064,0.968,1.184,1.08,9,1.14,0.04,0.005,0.039
"15827","SNX4","ENSG00000114520",8723,"O95219","sorting nexin 4",5.33,2,2,2.008,0.558,0.564,0.637,0.879,0.755,2.715,0.771,2.784,9,1.3,0.31,0.451,0.632
"15830","ZWINT","ENSG00000122952",11130,"O95229","ZW10 interacting kinetochore protein",11.91,3,3,3.225,0,1.398,0.785,1.09,0,1.788,0,2.481,6,1.79,0.37,0.031,0.12
"15832","LUC7L3","ENSG00000108848",51747,"O95232","LUC7 like 3 pre-mRNA splicing factor",25.69,11,12,1.361,2.153,1.267,0.712,0.916,1.272,0.811,1.223,0.782,9,1.17,0.15,0.695,0.819
"15837","KIF4A","ENSG00000090889",24137,"O95239","kinesin family member 4A",6.33,9,9,1.632,0.917,0.722,0.882,0.813,1.178,2.094,0.802,1.366,9,1.16,0.15,0.461,0.64
"15840","GOSR1","ENSG00000108587",9527,"O95249","golgi SNAP receptor complex member 1",14,3,3,0.988,0.868,0.792,0.752,0.807,0.815,0.926,0.871,0.994,9,0.87,0.03,0.008,0.052
"15841","KAT7","ENSG00000136504",11143,"O95251","lysine acetyltransferase 7",4.26,2,2,1.113,0.814,0.717,0.703,0.675,0.788,1.077,0.753,1.034,9,0.85,0.06,0.063,0.184
"15859","VAPB","ENSG00000124164",9217,"O95292","VAMP associated protein B and C",21.4,5,6,0.97,1.327,0.992,0.969,0.903,1.293,0.92,1.123,0.83,9,1.04,0.06,0.687,0.814
"15861","SNAPIN","ENSG00000143553",23557,"O95295","SNAP associated protein",21.32,2,2,1.022,0.692,1.114,1.034,1.63,0.635,0.937,0.996,1.477,9,1.06,0.11,0.259,0.436
"15863","NDUFC2","ENSG00000151366",4718,"O95298","NADH:ubiquinone oxidoreductase subunit C2",22.69,3,3,1.075,1.033,1.222,0.823,0.529,0.688,0.366,0.584,0.402,9,0.75,0.1,0.025,0.104
"15864","NDUFA10","ENSG00000130414",4705,"O95299","NADH:ubiquinone oxidoreductase subunit A10",15.77,5,5,1.093,0.996,0.752,0.685,0.645,0.885,0.913,0.83,0.882,9,0.85,0.05,0.02,0.09
"15865","FKBP9","ENSG00000122642",11328,"O95302","FKBP prolyl isomerase 9",16.84,8,9,1.183,1.483,1.4,0.869,0.951,1.055,0.784,1.216,1.013,9,1.11,0.08,0.313,0.494
"15866","CELF2","ENSG00000048740",10659,"O95319","CUGBP Elav-like family member 2",5.71,3,3,0.74,0.987,1.56,1.473,1.544,0.916,0.855,0.79,0.741,9,1.07,0.12,0.973,0.986
"15868","PGLS","ENSG00000130313",25796,"O95336","6-phosphogluconolactonase",34.88,6,6,0.816,0.661,0.761,1.041,0.991,0.979,1.172,0.959,1.141,9,0.95,0.06,0.435,0.618
"15869","PAPSS2","ENSG00000198682",9060,"O95340","3'-phosphoadenosine 5'-phosphosulfate synthase 2",13.52,7,7,1.188,0.759,0.556,0.786,0.664,1.059,1.756,0.848,1.37,9,1,0.13,0.777,0.871
"15873","SMC2","ENSG00000136824",10592,"O95347","structural maintenance of chromosomes 2",17.63,21,21,1.257,0.681,0.513,0.784,0.717,0.919,1.614,0.8,1.482,9,0.97,0.13,0.775,0.869
"15874","ATG7","ENSG00000197548",10533,"O95352","autophagy related 7",3.7,2,3,0,0,0,0.894,0,0.811,1.039,0,0,3,0.91,0.07,0,0
"15875","TACC2","ENSG00000138162",10579,"O95359","transforming acidic coiled-coil containing protein 2",5.22,8,10,0.981,0.868,1.547,1.04,1.631,0.718,0.826,0.778,1.008,9,1.04,0.11,0.637,0.783
"15876","TRIM16","ENSG00000221926",10626,"O95361","tripartite motif containing 16",7.27,3,3,1.159,1.1,2.028,1.48,1.735,0.794,0.835,1.117,1.18,9,1.27,0.14,0.029,0.115
